i,yhat,loop,loop_time
2127,1.9554292482358997,2,0.005373954772949219
3,4.586778671652749,3,0.0051920413970947266
68,3.9602400423811956,3,0.0051920413970947266
123,2.389785610721738,3,0.0051920413970947266
168,2.138944474440141,3,0.0051920413970947266
233,2.3157782807412435,3,0.0051920413970947266
268,5.024029555796361,3,0.0051920413970947266
313,3.662799922473194,3,0.0051920413970947266
398,5.108784100624437,3,0.0051920413970947266
413,3.5334101071332165,3,0.0051920413970947266
458,1.908641913364201,3,0.0051920413970947266
503,4.212171423184025,3,0.0051920413970947266
593,1.8957751259142734,3,0.0051920413970947266
608,2.7717108930379064,3,0.0051920413970947266
693,3.4870820284145614,3,0.0051920413970947266
713,0.9147830619326137,3,0.0051920413970947266
768,3.176301524056009,3,0.0051920413970947266
813,1.5699257953551888,3,0.0051920413970947266
888,3.024113627442107,3,0.0051920413970947266
983,6.972695571944179,3,0.0051920413970947266
998,8.063284585199757,3,0.0051920413970947266
1008,4.8350827081681915,3,0.0051920413970947266
1093,2.8404893233807313,3,0.0051920413970947266
1108,10.068886938602533,3,0.0051920413970947266
1118,1.0731780894822396,3,0.0051920413970947266
1123,3.374304457896531,3,0.0051920413970947266
1223,4.3632538976032995,3,0.0051920413970947266
1233,3.53414681887038,3,0.0051920413970947266
1248,3.3095563982479006,3,0.0051920413970947266
1263,2.826393508084854,3,0.0051920413970947266
1313,4.824335731106491,3,0.0051920413970947266
1393,2.5089223318243348,3,0.0051920413970947266
1438,2.712128665043913,3,0.0051920413970947266
1468,3.3198161106859088,3,0.0051920413970947266
1523,2.2372842056500377,3,0.0051920413970947266
1568,3.5284011449523716,3,0.0051920413970947266
1613,2.5099244847183755,3,0.0051920413970947266
1683,1.5096850284488308,3,0.0051920413970947266
1728,1.6323029485260947,3,0.0051920413970947266
1788,2.0994048480298897,3,0.0051920413970947266
1823,4.46882846923559,3,0.0051920413970947266
1908,3.91187734213354,3,0.0051920413970947266
1923,1.9819971049575342,3,0.0051920413970947266
1983,1.8869180090741564,3,0.0051920413970947266
2028,1.064150885069644,3,0.0051920413970947266
2058,3.8370172959548077,3,0.0051920413970947266
2128,8.93659774607417,3,0.0051920413970947266
4,2.6345736829344415,4,0.005235910415649414
69,5.2060373762319925,4,0.005235910415649414
124,8.226273330556891,4,0.005235910415649414
169,3.2630953291448406,4,0.005235910415649414
234,4.530146579048798,4,0.005235910415649414
269,2.4888064136705337,4,0.005235910415649414
314,6.932153600690642,4,0.005235910415649414
399,4.30985774674436,4,0.005235910415649414
414,5.435961602087486,4,0.005235910415649414
459,2.83058166820273,4,0.005235910415649414
504,4.262371047412215,4,0.005235910415649414
594,5.056381531271491,4,0.005235910415649414
609,2.6886038896008793,4,0.005235910415649414
694,1.867795112436292,4,0.005235910415649414
714,5.1966304557940255,4,0.005235910415649414
769,4.170624980573038,4,0.005235910415649414
814,4.286596615926879,4,0.005235910415649414
889,4.0832981425064006,4,0.005235910415649414
984,4.370859175130687,4,0.005235910415649414
999,5.291017545901727,4,0.005235910415649414
1009,5.19546392861146,4,0.005235910415649414
1094,3.8964698240314553,4,0.005235910415649414
1109,3.877648823833819,4,0.005235910415649414
1119,1.2205763841582322,4,0.005235910415649414
1124,6.273851612501378,4,0.005235910415649414
1224,4.8533496021013915,4,0.005235910415649414
1234,5.734493241497439,4,0.005235910415649414
1249,2.527222214164935,4,0.005235910415649414
1264,4.214366759936847,4,0.005235910415649414
1314,4.217919365197884,4,0.005235910415649414
1394,3.240986458229387,4,0.005235910415649414
1439,5.9338039298989,4,0.005235910415649414
1469,2.754221746254923,4,0.005235910415649414
1524,4.326039153960628,4,0.005235910415649414
1569,3.150551909171839,4,0.005235910415649414
1614,8.76072123235211,4,0.005235910415649414
1684,2.593219450606424,4,0.005235910415649414
1729,0.8543592654181547,4,0.005235910415649414
1789,0.9580531203758159,4,0.005235910415649414
1824,5.0984354485387025,4,0.005235910415649414
1909,8.727019525308854,4,0.005235910415649414
1924,0.2778861876868672,4,0.005235910415649414
1984,2.93391132689567,4,0.005235910415649414
2029,2.357172590736413,4,0.005235910415649414
2059,2.8932541383019816,4,0.005235910415649414
2129,5.5861102511160805,4,0.005235910415649414
5,0.4027880997303117,5,0.0047092437744140625
70,1.123275717284277,5,0.0047092437744140625
